GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testing-java-junit5,guru.springframework.sfgpetclinic.model,BaseEntity,14,9,2,0,5,4,4,2,3,2
testing-java-junit5,guru.springframework.sfgpetclinic.model,Visit,36,0,0,0,16,0,9,0,9,0
testing-java-junit5,guru.springframework.sfgpetclinic.model,Pet,52,0,0,0,20,0,12,0,12,0
testing-java-junit5,guru.springframework.sfgpetclinic.model,Vet,4,17,0,0,2,5,1,2,1,2
testing-java-junit5,guru.springframework.sfgpetclinic.model,Person,8,16,0,0,4,6,2,3,2,3
testing-java-junit5,guru.springframework.sfgpetclinic.model,Speciality,23,0,0,0,11,0,5,0,5,0
testing-java-junit5,guru.springframework.sfgpetclinic.model,Owner,53,25,8,0,16,9,10,5,6,5
testing-java-junit5,guru.springframework.sfgpetclinic.model,PetType,26,0,0,0,12,0,6,0,6,0
testing-java-junit5,guru.springframework.sfgpetclinic.model,OwnerType,0,24,0,0,0,2,0,1,0,1
testing-java-junit5,guru.springframework.sfgpetclinic.services.map,VetMapService,36,17,5,1,10,6,7,3,4,3
testing-java-junit5,guru.springframework.sfgpetclinic.services.map,AbstractMapService,54,30,2,2,13,7,7,3,5,3
testing-java-junit5,guru.springframework.sfgpetclinic.services.map,PetTypeMapService,24,0,0,0,8,0,6,0,6,0
testing-java-junit5,guru.springframework.sfgpetclinic.services.map,SpecialityMapService,21,3,0,0,7,1,5,1,5,1
testing-java-junit5,guru.springframework.sfgpetclinic.services.map,OwnerMapService,95,0,10,0,29,0,15,0,10,0
testing-java-junit5,guru.springframework.sfgpetclinic.services.map,PetMapService,24,0,0,0,8,0,6,0,6,0
testing-java-junit5,guru.springframework.sfgpetclinic.services.map,VisitMapService,45,0,8,0,11,0,10,0,6,0
testing-java-junit5,guru.springframework.sfgpetclinic.formatters,PetTypeFormatter,38,0,4,0,10,0,5,0,3,0
testing-java-junit5,guru.springframework.sfgpetclinic.services.springdatajpa,VisitSDJpaService,45,0,0,0,12,0,6,0,6,0
testing-java-junit5,guru.springframework.sfgpetclinic.services.springdatajpa,OwnerSDJpaService,61,0,0,0,16,0,8,0,8,0
testing-java-junit5,guru.springframework.sfgpetclinic.services.springdatajpa,PetTypeSDJpaService,45,0,0,0,12,0,6,0,6,0
testing-java-junit5,guru.springframework.sfgpetclinic.services.springdatajpa,SpecialitySDJpaService,45,0,0,0,12,0,6,0,6,0
testing-java-junit5,guru.springframework.sfgpetclinic.services.springdatajpa,VetSDJpaService,45,0,0,0,12,0,6,0,6,0
testing-java-junit5,guru.springframework.sfgpetclinic.services.springdatajpa,PetSDJpaService,45,0,0,0,12,0,6,0,6,0
testing-java-junit5,guru.springframework.sfgpetclinic.controllers,IndexController,0,9,0,0,0,3,0,3,0,3
testing-java-junit5,guru.springframework.sfgpetclinic.controllers,VisitController,52,0,2,0,17,0,6,0,5,0
testing-java-junit5,guru.springframework.sfgpetclinic.controllers,VetController,0,14,0,0,0,5,0,2,0,2
testing-java-junit5,guru.springframework.sfgpetclinic.controllers,ValueNotFoundException,0,3,0,0,0,1,0,1,0,1
testing-java-junit5,guru.springframework.sfgpetclinic.controllers,PetController,120,0,10,0,31,0,13,0,8,0
testing-java-junit5,guru.springframework.sfgpetclinic.controllers,OwnerController,128,0,10,0,34,0,14,0,9,0
testing-java-junit5,guru.springframework.sfgpetclinic.fauxspring,ModelAndView,7,0,0,0,5,0,3,0,3,0
